title,author,average_rating,language_code,num-pages,ratings_count,text_reviews_count,publisher,genres,years,author_birthplace,author_birthdate,author_gender
The Bone Collector (Lincoln Rhyme  #1),Jeffery_Deaver,4.19,eng,528,140014,1753,Signet Book,Horror,1998,"Glen Ellyn, Illinois, U.S.",1950,male
The Terror,Dan_Simmons,4.07,eng,769,31711,3317,Little  Brown and Company,Horror,2007,"Peoria, Illinois, U.S.",1948,male
American Gods,Neil_Gaiman,4.11,eng,635,1211,169,PerfectBound (HarperCollins),Horror,2001,"Portchester, England",1960,male
American Gods (American Gods  #1),Neil_Gaiman,4.11,eng,635,383045,15962,Headline Review,Horror,2005,"Portchester, England",1960,male
Wolves of the Calla (The Dark Tower  #5),Stephen_King,4.18,eng,931,127168,2801,Pocket Books,Horror,2006,"Portland, Maine, U.S.",1947,male
The Drawing of the Three (The Dark Tower  #2),Stephen_King,4.23,eng,463,173022,5139,Signet,Horror,2003,"Portland, Maine, U.S.",1947,male
The Picture of Dorian Gray,Oscar_Wilde,4.08,eng,272,760717,17179,Random House: Modern Library,Horror,2004,"Dublin, Ireland",1854,male
'Salem's Lot,Stephen_King,4.25,eng,594,84123,571,Doubleday,Horror,2005,"Portland, Maine, U.S.",1947,male
'Salem's Lot,Stephen_King,4.02,eng,405,1039,130,Doubleday,Horror,1975,"Portland, Maine, U.S.",1947,male
Carrie / 'Salem's Lot / The Shining,Stephen_King,4.54,eng,1096,13137,61,Wings,Horror,2002,"Portland, Maine, U.S.",1947,male
The Woman in White,Wilkie_Collins,4.0,eng,672,108060,5168,Penguin Classics,Horror,2003,"Marylebone, London, England",1824,unknown
The Road,Cormac_Mc._Carthy,3.97,eng,241,606433,34301,Alfred A. Knopf,Horror,2006,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
The Manhattan Hunt Club,John_Saul,3.98,eng,384,4889,221,Ballantine Books,Horror,2006,Birthplace information not found,Birthyear information not found,male
Shadows,John_Saul,3.93,eng,393,10824,185,Bantam,Horror,1993,Birthplace information not found,Birthyear information not found,male
Suffer the Children,John_Saul,3.91,en-US,378,28001,301,Dell,Horror,1989,Birthplace information not found,Birthyear information not found,male
